#node1	node2
Q9H2G2	Q9Y2J2
P54259	P98095
P17948	P21781
P49841	Q9P1W9
P16615	Q15628
O95400	Q14558
P84996	Q86XP0
P01112	Q8TDF6
P61081	Q99459
P78344	Q9BUB5
Q13112	Q99877
P05109	Q8TDR0
P35225	P78552
P05093	P22888
Q8IXH7	Q8N163
O95644	Q9Y277
Q14197	Q9H2W6
P10912	Q9UBD9
O76009	Q9ULA0
P41279	Q12933
P12109	P31431
Q13315	Q9Y6P5
P25205	Q01094
P01876	P04264
Q7Z2G1	Q99878
P53779	P63211
O14933	O94941
P09919	P10912
Q7L5D6	Q9Y5V3
A6NIX2	O95835
406906	P51608
O00744	Q9H237
P60709	Q9Y281
P01112	P19174
O00232	Q5VTR2
P01106	Q5JSL3
P61952	Q92633
P27986	Q05397
P52948	Q7RTX8
Q96B26	Q9NPD3
O95989	Q9UID3
A4D0S4	Q13797
O15264	P30101
O95352	Q9H492
P01100	Q07889
Q13535	Q8IYD8
Q13155	Q5D1E8
P20333	Q71UM5
O95467	P16473
O95816	Q15653
P63104	Q9UL42
P29466	Q96P20
Q96A08	Q9BY41
P22492	P45973
P18077	P62917
P42336	Q8IUC6
Q7Z4H7	Q9H6D7
P09471	Q68DD2
P04156	P46379
Q15669	Q5UIP0
P37840	P68104
P08670	P18206
Q00653	Q13309
P61019	Q8NEG0
P51812	Q16695
P36873	P62136
O60508	P26368
Q00975	Q96HC4
P05452	Q99962
O00257	P68431
Q96DC9	Q9Y4K3
Q14674	Q8NDV3
Q969H0	Q9UKT4
P55036	Q9UHD9
O43464	Q16539
P63104	Q9P270
P85299	Q9BQA1
Q5T3J3	Q9Y6H6
P37235	Q9NRX2
Q9H4I2	Q9UKY1
O75554	P11940
Q14164	Q6XUX3
P17096	Q13415
O60934	Q9UER7
O95049	P56748
P48544	Q9HAV0
P04222	P61769
Q9UGI0	Q9Y4K3
P18074	Q13889
P31751	P56278
Q14165	Q9Y4K3
P04406	Q13255
O15084	P53350
Q13315	Q8IYH5
P25942	Q96JQ0
Q8IY92	Q9BTT6
P51817	P63218
P16671	P35443
O43719	O75554
P26012	P35442
O43298	Q8IYF1
P09919	P16871
P00966	P01106
P05026	Q5UIP0
O14807	Q7Z569
Q8N6F1	Q96AP7
P10415	Q8IVG9
P07998	P27824
Q93062	Q9BX46
P10912	Q86WN2
P16471	Q9UBD9
P15498	Q8IZP0
O60840	Q15172
P40879	Q15599
P35626	Q8NGS5
P63218	Q9Y272
P02768	P13645
P01106	P67809
P01569	Q08334
O96017	P52292
O43674	P03891
P85298	Q9H4E5
