#node1	node2
O43809	P00488
P19174	P31994
P27361	Q9P2Y4
P62333	Q00653
P01567	P15260
O95072	P62714
O14788	Q16560
P13861	Q13485
P52952	P63279
Q9ULK4	Q9UPW0
P03928	Q9Y4G8
O60825	Q9UGJ0
P13667	P30101
P56705	Q9UEF7
O43251	Q16637
O00459	P13224
O00206	P63000
P26368	P52597
O95400	Q01844
O00631	P18146
Q02539	Q8IXJ6
P36897	Q9NSN8
P53708	Q16787
P27635	Q99558
O60216	Q9UQE7
Q13557	Q7Z3S7
P16220	Q03060
Q5VU43	Q9UKE5
P62258	Q8N122
A0JLT2	O95816
P62136	Q99941
Q13127	Q9UKL0
Q93009	Q9Y6K9
P08107	Q15750
Q00994	Q15834
P37173	Q9UER7
O15264	Q13283
P02776	P49238
P46821	Q9H2C0
O95298	Q9UI09
O75197	P41221
O00716	P37231
P01106	Q9BWT6
O14604	P63261
O43281	P27986
Q6P4R8	Q9ULG1
O60739	P09936
P00846	P05496
P42701	Q8IU54
A0JLT2	Q13838
O94985	Q99767
P12004	Q14527
P11940	Q13573
P42684	Q15653
P42766	Q9Y5S2
O95229	Q6P1K2
P55199	Q8IXJ6
O75030	P56645
P15923	P27361
O95398	Q8NFM4
P56537	Q9Y2X7
P49207	P61254
Q12933	Q9UI26
O14543	O15530
P13569	P51159
P50570	Q9NZW5
O00329	Q15303
P54829	Q16539
P08670	Q06323
O00329	P10827
P02649	P02768
O75084	P41221
P68431	Q96BN2
P60763	Q8WYR1
O75460	Q12933
O43320	P10721
P0C0S5	Q9Y5T5
O43524	Q16690
P05412	Q9UPN3
Q16478	Q6UWE0
O14757	P68431
P35637	Q15365
P41182	Q05516
P63096	Q86YR5
Q9UKV8	Q9UPY3
P41594	P84996
P41182	Q9UBK2
Q9GZX6	Q9HBE5
P10415	P30153
P35680	Q13547
P0DI82	Q86SZ2
P01111	P05412
Q92796	Q9NSB4
P24941	Q9UJX5
P10768	P23508
P23588	P55884
P49792	P78527
P07355	Q9Y6R4
P62158	Q96HU8
P13987	Q9UKW4
P07437	P68363
O95169	O95178
P02771	P30480
P55211	Q92569
P53778	Q9H1R3
Q15025	Q96M61
P51693	Q99547
O15264	P29692
Q14204	Q9BQE3
P24844	Q32MK0
P04899	P21554
Q15834	Q9NYH9
Q03164	Q9UNP9
P60763	Q9UN19
O00629	Q00978
P13637	P17612
P60763	Q6H8Q1
P05129	P41220
Q92905	Q96DB2
P48788	Q9HAU4
Q5UIP0	Q9UN74
Q9BQY4	Q9H0E2
Q13177	Q9H4E5
O15527	P05060
P10275	P35869
P17544	Q9NR55
O95163	Q93008
Q13315	Q96B54
P18827	Q14031
P84022	Q7Z3T8
P04626	Q16665
P07900	Q07869
O00182	O00214
P29323	P42684
Q14527	Q99459
